index,image_name,summary
1,kart_2d000523-C-8-81-1.jpg,A new image of a tree branch bearing persimmons has been released by the National Portrait Gallery.
2,kart_2d000532-C-8-81-1.jpg,A portrait of a Chinese branch has been unveiled at the National Portrait Gallery in London.
3,kart_2d001630-C-8-81-1.jpg,"In our series of letters from African writers, the BBC's Jonathan Pryce looks at a new illustration of the East Asian landscape."
4,kart_2d001774-C-8-81-1.jpg,Ink paintings have been released by the National Portrait Gallery for the first time.
5,kart_2d001795-C-8-81-1.jpg,A painting of a brushstroke style has been released by the British National Museum in London.
6,kart_2d001807-C-8-81-1.jpg,A portrait of a traditional Chinese landscape has been released by the British National Portrait Gallery.
7,kart_2d001852-C-8-81-1.jpg,A painting by a British artist has been unveiled at the National Portrait Gallery in London.
8,kart_2d001990-C-8-81-1.jpg,A portrait of a giant Lotus flower has been unveiled by the British National Portrait Gallery.
9,kart_2d002068-C-8-81-1.jpg,A new image of a giant rock formations in northern China has been released by the National Portrait Gallery.
10,kart_2d002095-C-8-81-1.jpg,A portrait of a grasshopper has been unveiled at the National Portrait Gallery in Beijing.
11,kart_2d002140-C-8-81-1.jpg,A painting of pineapples has been unveiled at the National Portrait Gallery in London.
12,kart_2d002170-C-8-81-1.jpg,A newly created painting of a pink flower has been unveiled at the National Portrait Gallery in Hong Kong.
13,kart_2d004384-C-8-81-1.jpg,"In our series of letters from African artists, the BBC's Andy Warhol looks at a new image of the traditional Chinese calligraphy."
14,kart_2d004489-C-8-81-1.jpg,A newly released portrait of Picasso has been unveiled at the National Portrait Gallery in London.
15,kart_2d004531-C-8-81-1.jpg,"In our series of letters from African artists, the BBC's Andy Warhol looks at a painting created by traditional East Asian ink wash."
16,kart_2d005788-C-8-81-1.jpg,A new exhibition of traditional Chinese calligraphy has been unveiled at the National Gallery in London.
17,kart_2d005806-C-8-81-1.jpg,A portrait of a tree in China has been unveiled at the National Portrait Gallery in Hong Kong.
18,kart_2d005824-C-8-81-1.jpg,A portrait of a human figure has been unveiled at the National Portrait Gallery in Beijing.
19,kart_2d005875-C-8-81-1.jpg,"In our series of letters from African artists, we examine the paintings of the artist Kenneth Branagh."
20,kart_2d006010-C-8-81-1.jpg,A newly released image of a giant red seal has been unveiled at the National Portrait Gallery in London.
21,kart_2d006586-C-8-81-1.jpg,A newly released painting of a giant pink flower has been unveiled at the National Portrait Gallery in London.
22,kart_2d006673-C-8-81-1.jpg,A newly released painting of an owl has been unveiled at the National Portrait Gallery in Hong Kong.
23,kart_2d006796-C-8-81-1.jpg,A newly released image of peony flowers has been unveiled at the National Portrait Gallery in London.
24,kart_2d006961-C-8-81-1.jpg,A portrait of a forest floor created by Andy Warhol has been unveiled at the National Portrait Gallery in London.
25,kart_2d006994-C-8-81-1.jpg,A new exhibition of a tiger has been released by the National Geographic.
26,kart_2d007132-C-8-82-1.jpg,"In our series of letters from African journalists, photographer and landscapeist Andy Warhol looks at the natural beauty of the forest floor."
27,kart_2d007273-C-8-82-1.jpg,"In our series of letters from African journalists, artists including the British Academy of Motion Picture Arts and Sciences have released a new image of sunflowers."
28,kart_2d007279-C-8-82-1.jpg,Guernsey's National Botanic Garden has released a new portrait of the countryside.
29,kart_2d007336-C-8-82-1.jpg,A new exhibition of a traditional garden in southern Scotland has been released by the BBC's Photographer of the Year.
31,kart_2d007462-C-8-82-1.jpg,A new painting by the British National Portrait Gallery has been released.
32,kart_2d007690-C-8-81-1.jpg,Guernsey's Royal Botanic Garden has unveiled a new painting of flowers and birds.
33,kart_2d007714-C-8-81-1.jpg,A newly released painting of a giant butterflies has been unveiled by the National Portrait Gallery in Hong Kong.
34,kart_2d007732-C-8-81-1.jpg,A newly released portrait of a tropical flower in the East Asian landscape has been unveiled at the National Portrait Gallery in London.
35,kart_2d007873-C-8-82-1.jpg,"In our series of letters from African artists, we examine a new image of the world's skull."
36,kart_2d008092-C-8-82-1.jpg,A newly released portrait of a pig has been unveiled at the National Portrait Gallery.
37,kart_2d008131-C-8-82-1.jpg,A portrait of a traditional village in the Highlands has been released by the National Portrait Gallery.
38,kart_2d008242-C-8-82-1.jpg,A portrait of a landscape in southern Scotland has been released by the National Portrait Gallery.
40,kart_2d008608-C-8-82-1.jpg,A new image of a cliff in the sea has been released by the British Academy.
41,kart_2d008650-C-8-81-1.jpg,A new image of a painting created by British artist Kenneth Branagh has been released by the National Portrait Gallery.
42,kart_2d008707-C-8-81-1.jpg,A portrait of a Chinese tree has been unveiled at the National Portrait Gallery in London.
43,kart_2d008758-C-8-81-1.jpg,A portrait of a tree branch has been unveiled at the National Portrait Gallery in London.
44,kart_2d008761-C-8-81-1.jpg,A painting of yellow flowers has been unveiled at the National Portrait Gallery in Hong Kong.
45,kart_2d009412-C-8-81-1.jpg,A new image of a painting of bamboo has been released by the National Portrait Gallery.
46,kart_2d010255-C-8-81-1.jpg,A portrait of a bamboo stalks and leaves has been released by the National Portrait Gallery in London.
47,kart_2d010669-C-8-81-1.jpg,A newly released painting of a traditional Chinese landscape has been unveiled at the National Portrait Gallery in London.
48,kart_2d010951-C-8-81-1.jpg,A portrait of a Chinese plant has been unveiled at the National Portrait Gallery in Hong Kong.
49,kart_2d010957-C-8-81-1.jpg,A newly released image of a Chinese artist has been unveiled at the National Portrait Gallery in London.
50,kart_2d010963-C-8-81-1.jpg,A new image of Chinese plants has been released by the National Portrait Gallery.
51,kart_2d011071-C-8-81-1.jpg,A new image of the bamboo stalks and leaves has been unveiled at the National Portrait Gallery in Hong Kong.
52,kart_2d012488-C-8-81-1.jpg,A new image of the Himalayas has been released by the National Geographic.
53,kart_2d012695-C-8-81-1.jpg,A new painting of the Himalayas has been released by the National Geographic.
54,kart_2d012698-C-8-81-1.jpg,The British National Portrait Gallery has released a new image of the landscape of Brighton.
56,kart_2d013052-c-8-82-1.jpg,"In our series of letters from African artists, a painting created by the British Academy of Motion Picture Arts and Sciences has been released."
57,kart_2d014414-C-8-81-1.jpg,A portrait of a fish has been unveiled at the National Portrait Gallery in Seoul.
58,kart_2d014456-C-8-81-1.jpg,A painting of a bamboo leaves has been unveiled at the National Portrait Gallery in Hong Kong.
59,kart_2d014504-C-8-81-1.jpg,"In our series of letters from African writers, a new exhibition aims to capture the essence of the water."
60,kart_2d014513-C-8-81-1.jpg,A portrait of a tree in southern China has been unveiled by the National Portrait Gallery.
62,kart_2d014735-C-8-81-1.jpg,A portrait of a traditional East Asian painting has been released by the National Portrait Gallery in Hong Kong.
63,kart_2d014744-C-8-81-1.jpg,A Chinese brush painting has been unveiled at the National Portrait Gallery in Beijing.
64,kart_2d014813-C-8-81-1.jpg,A newly released painting of a Chinese birds has been commissioned by the National Portrait Gallery in Beijing.
65,kart_2d014822-C-8-81-1.jpg,A newly released painting of a Chinese ink blossom has been unveiled at the National Portrait Gallery in Hong Kong.
66,kart_2d014834-C-8-81-1.jpg,A newly released image of Korean drummers playing traditional instruments has been unveiled by the artist Kenneth Branagh.
67,kart_2d014891-C-8-81-1.jpg,A newly created painting of a giant pink circle has been unveiled at the National Portrait Gallery in Hong Kong.
68,kart_2d015989-C-8-81-1.jpg,"In our series of letters from African journalists, the BBC's weekly The Boss series profiles different ways of working in rural areas."
69,kart_2d016058-C-8-81-1.jpg,A portrait of a Chinese bamboo has been unveiled at the National Portrait Gallery in London.
71,kart_2d016295-C-8-81-1.jpg,A painting of a pomegranate tree branch has been unveiled at the National Portrait Gallery in Hong Kong.
72,kart_2d016313-C-8-81-1.jpg,A painting by Andy Warhol has been unveiled at the National Portrait Gallery in London.
73,kart_2d016316-C-8-81-1.jpg,A portrait of a tree branch has been unveiled at the National Portrait Gallery in London.
74,kart_2d016352-C-8-81-1.jpg,"In our series of letters from African writers, China's brush paintings have been unveiled."
75,kart_2d016418-C-8-81-1.jpg,A new image of a Chinese painting has been released by the National Portrait Gallery.
76,kart_2d016442-C-8-81-1.jpg,"In our series of letters from African writers, artists including Banksy and the National Portrait Gallery reveal a unique portrait of the landscape."
77,kart_2d017327-C-8-81-1.jpg,A portrait of a bird has been unveiled at the National Portrait Gallery in London.
78,kart_2d017372-C-8-81-1.jpg,A newly released portrait of a giant butterfly has been unveiled at the National Portrait Gallery in London.
